0,0,0
0,0,0.002
-2e-05,0,0.003886
-5.886e-05,-2e-07,0.0056645
-0.000115503,-7.89e-07,0.00734162
-0.000188911,-1.94561e-06,0.00892314
-0.000278123,-3.83861e-06,0.0104145
-0.00038223,-6.62752e-06,0.0118208
-0.000500372,-1.04631e-05,0.013147
-0.000631737,-1.54877e-05,0.0143976
-0.000775558,-2.18361e-05,0.0155768
-0.000931108,-2.96353e-05,0.0166888
-0.0010977,-3.90057e-05,0.0177374
-0.00127468,-5.00607e-05,0.0187262
-0.00146144,-6.29076e-05,0.0196585
-0.0016574,-7.76479e-05,0.0205377
-0.001862,-9.43772e-05,0.0213667
-0.00207473,-0.000113186,0.0221484
-0.00229508,-0.00013416,0.0228855
-0.00252259,-0.000157379,0.0235805
-0.00275682,-0.000182919,0.0242358
-0.00299735,-0.000210853,0.0248537
-0.00324378,-0.000241249,0.0254363
-0.00349573,-0.000274169,0.0259856
-0.00375285,-0.000309675,0.0265035
-0.00401478,-0.000347822,0.0269918
-0.00428122,-0.000388666,0.0274522
-0.00455186,-0.000432255,0.0278863
-0.0048264,-0.000478639,0.0282955
-0.00510457,-0.00052786,0.0286813
-0.0053861,-0.000579961,0.029045
-0.00567075,-0.000634982,0.0293878
-0.00595828,-0.00069296,0.0297111
-0.00624846,-0.000753928,0.0300158
-0.00654108,-0.000817921,0.030303
-0.00683593,-0.000884967,0.0305737
-0.00713282,-0.000955097,0.0308289
-0.00743156,-0.00102834,0.0310695
-0.00773197,-0.00110471,0.0312962
-0.00803388,-0.00118424,0.0315099
-0.00833714,-0.00126694,0.0317113
-0.00864158,-0.00135285,0.0319011
-0.00894707,-0.00144197,0.03208
-0.00925345,-0.00153433,0.0322486
-0.00956059,-0.00162993,0.0324074
-0.00986836,-0.00172879,0.0325571
-0.0101766,-0.00183094,0.0326981
-0.0104853,-0.00193636,0.032831
-0.0107943,-0.00204509,0.0329562
-0.0111034,-0.00215712,0.0330741
-0.0114125,-0.00227247,0.0331852
-0.0117217,-0.00239114,0.0332899
-0.0120307,-0.00251314,0.0333885
-0.0123394,-0.00263847,0.0334813
-0.0126478,-0.00276714,0.0335687
-0.0129559,-0.00289916,0.0336511
-0.0132634,-0.00303451,0.0337286
-0.0135703,-0.00317322,0.0338016
-0.0138766,-0.00331527,0.0338703
