czas,temperatura0,0
0,1199.79
0.1,1199.59
0.2,1199.38
0.3,1199.17
0.4,1198.96
0.5,1198.76
0.6,1198.55
0.7,1198.35
0.8,1198.14
0.9,1197.93
1,1197.73
1.1,1197.52
1.2,1197.32
1.3,1197.11
1.4,1196.9
1.5,1196.7
1.6,1196.49
1.7,1196.29
1.8,1196.08
1.9,1195.88
2,1195.68
2.1,1195.47
2.2,1195.27
2.3,1195.06
2.4,1194.86
2.5,1194.65
2.6,1194.45
2.7,1194.25
2.8,1194.04
2.9,1193.84
3,1193.64
3.1,1193.43
3.2,1193.23
3.3,1193.03
3.4,1192.83
3.5,1192.62
3.6,1192.42
3.7,1192.22
3.8,1192.02
3.9,1191.82
4,1191.61
4.1,1191.41
4.2,1191.21
4.3,1191.01
4.4,1190.81
4.5,1190.61
4.6,1190.41
4.7,1190.21
4.8,1190
4.9,1189.8
5,1189.6
5.1,1189.4
5.2,1189.2
5.3,1189
5.4,1188.8
5.5,1188.6
5.6,1188.4
5.7,1188.2
5.8,1188.01
5.9,1187.81
6,1187.61
6.1,1187.41
6.2,1187.21
6.3,1187.01
6.4,1186.81
6.5,1186.61
6.6,1186.42
6.7,1186.22
6.8,1186.02
6.9,1185.82
7,1185.62
7.1,1185.43
7.2,1185.23
7.3,1185.03
7.4,1184.83
7.5,1184.64
7.6,1184.44
7.7,1184.24
7.8,1184.05
7.9,1183.85
8,1183.65
8.1,1183.46
8.2,1183.26
8.3,1183.07
8.4,1182.87
8.5,1182.67
8.6,1182.48
8.7,1182.28
8.8,1182.09
8.9,1181.89
9,1181.7
9.1,1181.5
9.2,1181.31
9.3,1181.11
9.4,1180.92
9.5,1180.72
9.6,1180.53
9.7,1180.33
9.8,1180.14
9.9,1179.95
10,1179.75
10.1,1179.56
10.2,1179.37
10.3,1179.17
10.4,1178.98
10.5,1178.79
10.6,1178.59
10.7,1178.4
10.8,1178.21
10.9,1178.01
11,1177.82
11.1,1177.63
11.2,1177.44
11.3,1177.24
11.4,1177.05
11.5,1176.86
11.6,1176.67
11.7,1176.48
11.8,1176.29
11.9,1176.09
12,1175.9
12.1,1175.71
12.2,1175.52
12.3,1175.33
12.4,1175.14
12.5,1174.95
12.6,1174.76
12.7,1174.57
12.8,1174.38
12.9,1174.19
13,1174
13.1,1173.81
13.2,1173.62
13.3,1173.43
13.4,1173.24
13.5,1173.05
13.6,1172.86
13.7,1172.67
13.8,1172.48
13.9,1172.29
14,1172.1
14.1,1171.91
14.2,1171.72
14.3,1171.54
14.4,1171.35
14.5,1171.16
14.6,1170.97
14.7,1170.78
14.8,1170.6
14.9,1170.41
15,1170.22
15.1,1170.03
15.2,1169.84
15.3,1169.66
15.4,1169.47
15.5,1169.28
15.6,1169.1
15.7,1168.91
15.8,1168.72
15.9,1168.54
16,1168.35
16.1,1168.16
16.2,1167.98
16.3,1167.79
16.4,1167.61
16.5,1167.42
16.6,1167.23
16.7,1167.05
16.8,1166.86
16.9,1166.68
17,1166.49
17.1,1166.31
17.2,1166.12
17.3,1165.94
17.4,1165.75
17.5,1165.57
17.6,1165.38
17.7,1165.2
17.8,1165.01
17.9,1164.83
18,1164.65
18.1,1164.46
18.2,1164.28
18.3,1164.09
18.4,1163.91
18.5,1163.73
18.6,1163.54
18.7,1163.36
18.8,1163.18
18.9,1162.99
19,1162.81
19.1,1162.63
19.2,1162.45
19.3,1162.26
19.4,1162.08
19.5,1161.9
19.6,1161.72
19.7,1161.53
19.8,1161.35
19.9,1161.17
20,1160.99
20.1,1160.81
20.2,1160.62
20.3,1160.44
20.4,1160.26
20.5,1160.08
20.6,1159.9
20.7,1159.72
20.8,1159.54
20.9,1159.36
21,1159.18
21.1,1159
21.2,1158.82
21.3,1158.63
21.4,1158.45
21.5,1158.27
21.6,1158.09
21.7,1157.91
21.8,1157.73
21.9,1157.56
22,1157.38
22.1,1157.2
22.2,1157.02
22.3,1156.84
22.4,1156.66
22.5,1156.48
22.6,1156.3
22.7,1156.12
22.8,1155.94
22.9,1155.76
23,1155.59
23.1,1155.41
23.2,1155.23
23.3,1155.05
23.4,1154.87
23.5,1154.7
23.6,1154.52
23.7,1154.34
23.8,1154.16
23.9,1153.99
24,1153.81
24.1,1153.63
24.2,1153.45
24.3,1153.28
24.4,1153.1
24.5,1152.92
24.6,1152.75
24.7,1152.57
24.8,1152.39
24.9,1152.22
25,1152.04
25.1,1151.86
25.2,1151.69
25.3,1151.51
25.4,1151.34
25.5,1151.16
25.6,1150.99
25.7,1150.81
25.8,1150.63
25.9,1150.46
26,1150.28
26.1,1150.11
26.2,1149.93
26.3,1149.76
26.4,1149.58
26.5,1149.41
26.6,1149.24
26.7,1149.06
26.8,1148.89
26.9,1148.71
27,1148.54
27.1,1148.36
27.2,1148.19
27.3,1148.02
27.4,1147.84
27.5,1147.67
27.6,1147.5
27.7,1147.32
27.8,1147.15
27.9,1146.98
28,1146.8
28.1,1146.63
28.2,1146.46
28.3,1146.28
28.4,1146.11
28.5,1145.94
28.6,1145.77
28.7,1145.59
28.8,1145.42
28.9,1145.25
29,1145.08
29.1,1144.91
29.2,1144.73
29.3,1144.56
29.4,1144.39
29.5,1144.22
29.6,1144.05
29.7,1143.88
29.8,1143.71
29.9,1143.53
30,1143.36
30.1,1143.19
30.2,1143.02
30.3,1142.85
30.4,1142.68
30.5,1142.51
30.6,1142.34
30.7,1142.17
30.8,1142
30.9,1141.83
31,1141.66
31.1,1141.49
31.2,1141.32
31.3,1141.15
31.4,1140.98
31.5,1140.81
31.6,1140.64
31.7,1140.47
31.8,1140.3
31.9,1140.13
32,1139.96
32.1,1139.8
32.2,1139.63
32.3,1139.46
32.4,1139.29
32.5,1139.12
32.6,1138.95
32.7,1138.78
32.8,1138.62
32.9,1138.45
33,1138.28
33.1,1138.11
33.2,1137.94
33.3,1137.78
33.4,1137.61
33.5,1137.44
33.6,1137.27
33.7,1137.11
33.8,1136.94
33.9,1136.77
34,1136.61
34.1,1136.44
34.2,1136.27
34.3,1136.11
34.4,1135.94
34.5,1135.77
34.6,1135.61
34.7,1135.44
34.8,1135.27
34.9,1135.11
35,1134.94
35.1,1134.78
35.2,1134.61
35.3,1134.44
35.4,1134.28
35.5,1134.11
35.6,1133.95
35.7,1133.78
35.8,1133.62
35.9,1133.45
36,1133.29
36.1,1133.12
36.2,1132.96
36.3,1132.79
36.4,1132.63
36.5,1132.46
36.6,1132.3
36.7,1132.13
36.8,1131.97
36.9,1131.81
37,1131.64
37.1,1131.48
37.2,1131.31
37.3,1131.15
37.4,1130.99
37.5,1130.82
37.6,1130.66
37.7,1130.5
37.8,1130.33
37.9,1130.17
38,1130.01
38.1,1129.84
38.2,1129.68
38.3,1129.52
38.4,1129.35
38.5,1129.19
38.6,1129.03
38.7,1128.87
38.8,1128.7
38.9,1128.54
39,1128.38
39.1,1128.22
39.2,1128.06
39.3,1127.89
39.4,1127.73
39.5,1127.57
39.6,1127.41
39.7,1127.25
39.8,1127.09
39.9,1126.92
40,1126.76
40.1,1126.6
40.2,1126.44
40.3,1126.28
40.4,1126.12
40.5,1125.96
40.6,1125.8
40.7,1125.64
40.8,1125.48
40.9,1125.32
41,1125.15
41.1,1124.99
41.2,1124.83
41.3,1124.67
41.4,1124.51
41.5,1124.35
41.6,1124.19
41.7,1124.03
41.8,1123.88
41.9,1123.72
42,1123.56
42.1,1123.4
42.2,1123.24
42.3,1123.08
42.4,1122.92
42.5,1122.76
42.6,1122.6
42.7,1122.44
42.8,1122.28
42.9,1122.13
43,1121.97
43.1,1121.81
43.2,1121.65
43.3,1121.49
43.4,1121.33
43.5,1121.18
43.6,1121.02
43.7,1120.86
43.8,1120.7
43.9,1120.54
44,1120.39
44.1,1120.23
44.2,1120.07
44.3,1119.91
44.4,1119.76
44.5,1119.6
